776, 1552
increase 22 2
increase 23 2
increase 24 2
increase 25 2
increase 26 2
increase 27 2
increase 28 2
increase 29 2
increase 30 2
increase 31 2
increase 32 2
increase 33 2
increase 34 2
increase 35 2
increase 36 2
increase 37 2
increase 38 2
increase 39 2
increase 40 2
increase 41 2
increase 42 2
increase 43 2
increase 44 2
increase 45 2
increase 46 2
increase 47 2
increase 48 2
increase 49 2
increase 50 2
increase 51 2
increase 52 2
increase 53 2
increase 54 2
increase 55 2
increase 56 2
increase 57 2
increase 58 2
increase 59 2
increase 60 2
increase 61 2
increase 62 2
increase 63 2
increase 64 2
increase 65 2
increase 66 2
increase 67 2
increase 68 2
increase 69 2
increase 70 2
increase 71 2
increase 72 2
increase 73 2
increase 74 2
increase 75 2
increase 76 2
increase 77 2
increase 78 2
increase 79 2
increase 80 2
increase 81 2
increase 82 2
increase 83 2
increase 84 2
increase 85 2
increase 86 2
increase 87 2
increase 88 2
increase 89 2
increase 90 2
increase 91 2
increase 92 2
increase 93 2
increase 94 2
increase 95 2
increase 96 2
increase 97 2
increase 98 2
increase 99 2
increase 100 2
increase 101 2
increase 102 2
increase 103 2
increase 104 2
increase 105 2
increase 106 2
increase 107 2
increase 108 2
increase 109 2
increase 110 2
increase 111 2
increase 112 2
increase 113 2
increase 114 2
increase 115 2
increase 116 2
increase 117 2
increase 118 2
increase 119 2
increase 120 2
increase 121 2
increase 122 2
increase 123 2
increase 124 2
increase 125 2
increase 126 2
increase 127 2
increase 128 2
increase 129 2
increase 130 2
increase 131 2
increase 132 2
increase 133 2
increase 134 2
increase 135 2
increase 136 2
increase 137 2
increase 138 2
increase 139 2
increase 140 2
increase 141 2
increase 142 2
increase 143 2
increase 144 2
increase 145 2
increase 146 2
increase 147 2
increase 148 2
increase 149 2
increase 150 2
increase 151 2
increase 152 2
increase 153 2
increase 154 2
increase 155 2
increase 156 2
increase 157 2
increase 158 2
increase 159 2
increase 160 2
increase 161 2
increase 162 2
increase 163 2
increase 164 2
increase 165 2
increase 166 2
increase 167 2
increase 168 2
increase 169 2
increase 170 2
increase 171 2
increase 172 2
increase 173 2
increase 174 2
increase 175 2
increase 176 2
increase 177 2
increase 178 2
increase 179 2
increase 180 2
increase 181 2
increase 182 2
increase 183 2
increase 184 2
increase 185 2
increase 186 2
increase 187 2
increase 188 2
increase 189 2
increase 190 2
increase 191 2
increase 192 2
increase 193 2
increase 194 2
increase 195 2
increase 196 2
increase 197 2
increase 198 2
increase 199 2
increase 200 2
increase 201 2
increase 202 2
increase 203 2
increase 204 2
increase 205 2
increase 206 2
increase 207 2
increase 208 2
increase 209 2
increase 210 2
increase 211 2
increase 212 2
increase 213 2
increase 214 2
increase 215 2
increase 216 2
increase 217 2
increase 218 2
increase 219 2
increase 220 2
increase 221 2
increase 222 2
increase 223 2
increase 224 2
increase 225 2
increase 226 2
increase 227 2
increase 228 2
increase 229 2
increase 230 2
increase 231 2
increase 232 2
increase 233 2
increase 234 2
increase 235 2
increase 236 2
increase 237 2
increase 238 2
increase 239 2
increase 240 2
increase 241 2
increase 242 2
increase 243 2
increase 244 2
increase 245 2
increase 246 2
increase 247 2
increase 248 2
increase 249 2
increase 250 2
increase 251 2
increase 252 2
increase 253 2
increase 254 2
increase 255 2
increase 256 2
increase 257 2
increase 258 2
increase 259 2
increase 260 2
increase 261 2
increase 262 2
increase 263 2
increase 264 2
increase 265 2
increase 266 2
increase 267 2
increase 268 2
increase 269 2
increase 270 2
increase 271 2
increase 272 2
increase 273 2
increase 274 2
increase 275 2
increase 276 2
increase 277 2
increase 278 2
increase 279 2
increase 280 2
increase 281 2
increase 282 2
increase 283 2
increase 284 2
increase 285 2
increase 286 2
increase 287 2
increase 288 2
increase 289 2
increase 290 2
increase 291 2
increase 292 2
increase 293 2
increase 294 2
increase 295 2
increase 296 2
increase 297 2
increase 298 2
increase 299 2
increase 300 2
increase 301 2
increase 302 2
increase 303 2
increase 304 2
increase 305 2
increase 306 2
increase 307 2
increase 308 2
increase 309 2
increase 310 2
increase 311 2
increase 312 2
increase 313 2
increase 314 2
increase 315 2
increase 316 2
increase 317 2
increase 318 2
increase 319 2
increase 320 2
increase 321 2
increase 322 2
increase 323 2
increase 324 2
increase 325 2
increase 326 2
increase 327 2
increase 328 2
increase 329 2
increase 330 2
increase 331 2
increase 332 2
increase 333 2
increase 334 2
increase 335 2
increase 336 2
increase 337 2
increase 338 2
increase 339 2
increase 340 2
increase 341 2
